Name,Stock Qty,Cost,Total Amount,Category,Warehouse
Oleo Butter UNSALTED ,1,65,65,BUTTER,
Bravo Buttercreme ,1,49,49,BUTTER,
Oleo Butter SALTED,1,65,65,BUTTER,
ButterBlend SALTED,1,53,53,BUTTER,
Golden Crown Butter ,38,60.76,2308.88,BUTTER,
Queensland SALTED ,18,132,2376,BUTTER,
La Crema Unsalted ,1,57,57,BUTTER,In store
Anchor Buttery ,1,71,71,BUTTER,In store
La Crema Salted ,1,0,0,BUTTER,In store
Queensland UNSALTED  ,1,125,125,BUTTER,In store
Peotraco PSugar 450g,31,63.02,1953.62,CONFECTIONERY SUGAR ,
Peotraco PSugar 1kg,35,95,3325,CONFECTIONERY SUGAR ,
Peotraco PSugar 5pounder,9,205,1845,CONFECTIONERY SUGAR ,
Dark Brown Sugar 1KG,1,87,87,CONFECTIONERY SUGAR ,
Golden Brown Sugar 1KG,1,85,85,CONFECTIONERY SUGAR ,
Peotraco Powdered Sugar 250g ,6,32,192,CONFECTIONERY SUGAR ,In store
Golden Brown Sugar 500g ,1,45,45,CONFECTIONERY SUGAR ,In store
LightBrown Sugar 500g,7,30,210,CONFECTIONERY SUGAR ,In store
LightBrown Sugar 1KG ,9,65,585,CONFECTIONERY SUGAR ,In store
Sonedco White Sugar 1kg ,24,70,1680,CONFECTIONERY SUGAR ,In store
Sonedco White Sugar 500g ,1,38,38,CONFECTIONERY SUGAR ,In store
Peotraco PSugar 2kg,1,182,182,CONFECTIONERY SUGAR ,In store
Jersey Full Cream Milk ,1,76,76,MILK/DAIRY ,
Arla Full Cream Milk ,1,87,87,MILK/DAIRY ,
Nestle APC 250ml,5,71,355,MILK/DAIRY ,
Jersey APC,18,60,1080,MILK/DAIRY ,
Jersey Condensed 1L,1,124,124,MILK/DAIRY ,
Jersey Condensed 390g,23,38.73,890.79,MILK/DAIRY ,
Everwhip 1L ,75,190,14250,MILK/DAIRY ,
Monnalisa Whipping,12,175,2100,MILK/DAIRY ,
